               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,            0.020316,              0.0394,           0.0019188,             0.99897,             0.99912,             0.99496,             0.95383,            0.012195,            0.032194,           0.0015998,           0.0077725,           0.0077725,           0.0077725
                  47,            0.020406,            0.039162,           0.0019495,             0.99861,             0.99923,              0.9948,             0.95041,            0.012266,            0.032185,           0.0016034,            0.007723,            0.007723,            0.007723
                  48,            0.020151,            0.038781,           0.0019407,             0.99862,             0.99896,             0.99498,             0.94906,            0.012334,            0.032835,           0.0016107,           0.0076735,           0.0076735,           0.0076735
                  49,            0.019733,            0.037764,           0.0019128,             0.99879,             0.99924,             0.99493,              0.9536,            0.012029,            0.031626,           0.0015938,            0.007624,            0.007624,            0.007624
                  50,            0.020264,            0.038754,           0.0019058,             0.99912,             0.99897,             0.99497,             0.95308,            0.012036,            0.031884,           0.0015481,           0.0075745,           0.0075745,           0.0075745
                  51,            0.019837,            0.037689,           0.0018403,             0.99897,             0.99931,             0.99498,             0.95312,            0.012103,            0.031731,           0.0014985,            0.007525,            0.007525,            0.007525
                  52,            0.019344,            0.036864,           0.0018495,             0.99889,             0.99904,             0.99499,             0.95151,            0.011949,            0.031596,           0.0015872,           0.0074755,           0.0074755,           0.0074755
                  53,            0.019617,            0.037687,           0.0019001,             0.99914,             0.99873,             0.99499,             0.95457,            0.011923,            0.032026,             0.00148,            0.007426,            0.007426,            0.007426
                  54,            0.019785,            0.037956,           0.0018759,             0.99935,             0.99941,             0.99499,             0.95342,            0.012064,             0.03177,           0.0014263,           0.0073765,           0.0073765,           0.0073765
                  55,            0.019418,            0.037627,           0.0018007,             0.99942,             0.99947,             0.99499,             0.95436,            0.011842,            0.031383,           0.0014312,            0.007327,            0.007327,            0.007327
                  56,            0.019132,            0.037476,           0.0018245,             0.99934,             0.99904,               0.995,             0.95311,            0.012073,            0.031765,            0.001481,           0.0072775,           0.0072775,           0.0072775
                  57,            0.019081,            0.036992,           0.0018078,             0.99925,             0.99925,             0.99499,             0.95447,            0.011759,            0.031632,           0.0014958,            0.007228,            0.007228,            0.007228
                  58,            0.019268,            0.036925,            0.001826,             0.99939,             0.99882,               0.995,             0.95889,            0.011685,            0.030659,           0.0014401,           0.0071785,           0.0071785,           0.0071785
                  59,            0.018854,            0.036244,           0.0017982,             0.99906,             0.99906,             0.99498,             0.95737,            0.011699,            0.030522,           0.0014906,            0.007129,            0.007129,            0.007129
                  60,            0.019014,             0.03669,           0.0017727,             0.99921,             0.99941,               0.995,             0.96003,            0.011572,            0.030519,           0.0013666,           0.0070795,           0.0070795,           0.0070795
                  61,            0.018988,            0.036442,           0.0017858,             0.99959,             0.99936,             0.99499,             0.95974,             0.01151,            0.030361,           0.0014052,             0.00703,             0.00703,             0.00703
                  62,            0.018775,            0.035947,            0.001743,             0.99945,             0.99923,             0.99498,             0.95989,            0.011565,            0.030183,            0.001408,           0.0069805,           0.0069805,           0.0069805
                  63,            0.018708,            0.035441,           0.0017394,             0.99908,             0.99917,             0.99498,             0.95622,            0.011602,            0.030889,           0.0014195,            0.006931,            0.006931,            0.006931
                  64,            0.018616,            0.035819,           0.0017626,             0.99934,             0.99912,             0.99499,             0.96169,            0.011391,            0.029852,           0.0014102,           0.0068815,           0.0068815,           0.0068815
                  65,            0.018573,            0.036176,           0.0017391,              0.9996,             0.99925,               0.995,             0.96114,            0.011376,              0.0297,           0.0014014,            0.006832,            0.006832,            0.006832
                  66,            0.018462,            0.035337,           0.0017408,             0.99953,             0.99918,               0.995,             0.95988,            0.011468,            0.030014,           0.0013841,           0.0067825,           0.0067825,           0.0067825
                  67,            0.018193,            0.034799,           0.0017602,             0.99954,              0.9994,               0.995,             0.95996,            0.011425,            0.029774,           0.0013814,            0.006733,            0.006733,            0.006733
                  68,            0.018426,            0.034718,            0.001738,             0.99902,             0.99945,             0.99495,             0.96029,            0.011401,            0.029997,           0.0013577,           0.0066835,           0.0066835,           0.0066835
                  69,            0.018271,            0.034814,           0.0017317,             0.99959,             0.99928,             0.99499,             0.95951,            0.011402,            0.029735,           0.0013733,            0.006634,            0.006634,            0.006634
                  70,            0.018102,            0.034589,           0.0017087,             0.99936,              0.9991,             0.99499,             0.96006,            0.011365,            0.029925,           0.0013691,           0.0065845,           0.0065845,           0.0065845
                  71,            0.018402,            0.034472,           0.0017116,             0.99954,             0.99939,               0.995,             0.96521,             0.01113,            0.028767,           0.0013456,            0.006535,            0.006535,            0.006535
                  72,            0.017808,            0.034315,           0.0017043,              0.9995,             0.99924,             0.99498,             0.96262,            0.011138,            0.028668,           0.0013835,           0.0064855,           0.0064855,           0.0064855
                  73,            0.017641,            0.033296,           0.0016999,             0.99952,             0.99857,             0.99499,             0.96213,            0.011205,            0.029159,           0.0013763,            0.006436,            0.006436,            0.006436
                  74,            0.017952,            0.034377,           0.0016815,             0.99946,              0.9994,             0.99499,              0.9616,             0.01128,            0.029459,           0.0013503,           0.0063865,           0.0063865,           0.0063865
                  75,            0.017829,            0.034009,           0.0016294,             0.99958,             0.99934,             0.99499,             0.96517,            0.011075,            0.028737,           0.0013408,            0.006337,            0.006337,            0.006337
                  76,            0.017661,            0.033597,           0.0016479,             0.99957,             0.99873,             0.99499,             0.96246,            0.011153,             0.02918,           0.0013157,           0.0062875,           0.0062875,           0.0062875
                  77,            0.017791,            0.034148,           0.0016687,             0.99957,             0.99939,             0.99499,             0.96416,             0.01109,            0.029014,           0.0013421,            0.006238,            0.006238,            0.006238
                  78,            0.017653,            0.033663,           0.0016241,             0.99957,             0.99951,             0.99499,             0.96419,            0.011049,            0.029389,           0.0012962,           0.0061885,           0.0061885,           0.0061885
                  79,            0.017611,            0.033007,           0.0016294,             0.99939,             0.99953,             0.99499,             0.96328,             0.01101,            0.029216,           0.0012987,            0.006139,            0.006139,            0.006139
                  80,             0.01745,             0.03314,           0.0016294,             0.99971,             0.99951,               0.995,             0.96619,            0.010979,            0.028379,           0.0013019,           0.0060895,           0.0060895,           0.0060895
                  81,            0.017808,            0.033493,           0.0016342,              0.9996,              0.9995,               0.995,             0.96444,            0.011037,            0.028888,           0.0012747,             0.00604,             0.00604,             0.00604
                  82,             0.01709,            0.032684,           0.0015968,             0.99951,             0.99956,             0.99499,             0.96742,             0.01086,            0.028098,           0.0012898,           0.0059905,           0.0059905,           0.0059905
                  83,            0.017409,            0.032969,           0.0016011,             0.99958,             0.99963,             0.99499,             0.96897,             0.01086,            0.028286,           0.0012712,            0.005941,            0.005941,            0.005941
                  84,            0.017125,            0.032788,           0.0016081,             0.99965,             0.99943,               0.995,             0.96787,            0.010837,            0.028045,           0.0012866,           0.0058915,           0.0058915,           0.0058915
                  85,            0.016946,            0.032828,           0.0015882,             0.99973,             0.99945,               0.995,             0.96844,            0.010774,            0.027696,           0.0012485,            0.005842,            0.005842,            0.005842
                  86,            0.017198,            0.032715,            0.001573,             0.99965,             0.99964,               0.995,             0.96414,            0.010889,             0.02864,           0.0012623,           0.0057925,           0.0057925,           0.0057925
                  87,            0.017346,            0.032975,           0.0015754,             0.99959,              0.9997,               0.995,              0.9668,            0.010846,            0.028535,           0.0012321,            0.005743,            0.005743,            0.005743
                  88,            0.016973,             0.03229,           0.0015571,             0.99961,             0.99965,               0.995,             0.96707,             0.01081,            0.028506,           0.0012058,           0.0056935,           0.0056935,           0.0056935
